10.9.0.154 N; 85047880895717/2199023255552,0/1,0/1; W; 3180567802466395/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.155 N; 5443063926063711/140737488355328,0/1,0/1; W; 3180569347873997/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.156 N; 5443063926063711/140737488355328,0/1,0/1; W; 795142259698119/8796093022208,0/1,0/1; 0; 604/1; 2
10.9.0.157 N; 5443063926063711/140737488355328,0/1,0/1; W; 795142182427739/8796093022208,0/1,0/1; 0; 604/1; 2
10.9.0.158 N; 5443063926063711/140737488355328,0/1,0/1; W; 6361136841258871/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.159 N; 5443063926063711/140737488355328,0/1,0/1; W; 3180568111547915/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.160 N; 5443063926063711/140737488355328,0/1,0/1; W; 6361135604932789/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.161 N; 680382934350189/17592186044416,0/1,0/1; W; 795142336968499/8796093022208,0/1,0/1; 0; 604/1; 2
10.9.0.162 N; 680382934350189/17592186044416,0/1,0/1; W; 6361138077584951/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.163 N; 680382934350189/17592186044416,0/1,0/1; W; 6361137459421911/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.164 N; 680382934350189/17592186044416,0/1,0/1; W; 6361136841258869/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.165 N; 680382934350189/17592186044416,0/1,0/1; W; 1590284055773957/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.166 N; 680382934350189/17592186044416,0/1,0/1; W; 1590283901233197/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.167 N; 2721531511769647/70368744177664,0/1,0/1; W; 6361138695747991/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.168 N; 2721531511769647/70368744177664,0/1,0/1; W; 6361138077584951/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.169 N; 2721531511769647/70368744177664,0/1,0/1; W; 6361137459421909/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.170 N; 2721531511769647/70368744177664,0/1,0/1; W; 1590284210314717/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.171 N; 2721531511769647/70368744177664,0/1,0/1; W; 6361136223095827/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.172 N; 2721531511769647/70368744177664,0/1,0/1; W; 6361135604932787/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.173 N; 5443062572277055/140737488355328,0/1,0/1; W; 3180569347873995/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.174 N; 5443062572277055/140737488355328,0/1,0/1; W; 6361138077584949/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.175 N; 5443062572277055/140737488355328,0/1,0/1; W; 1590284364855477/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.176 N; 5443062572277055/140737488355328,0/1,0/1; W; 6361136841258867/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.177 N; 5443062572277055/140737488355328,0/1,0/1; W; 6361136223095827/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.178 N; 5443062572277055/140737488355328,0/1,0/1; W; 6361135604932785/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.179 N; 1360765530253699/35184372088832,0/1,0/1; W; 6361138695747989/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.180 N; 1360765530253699/35184372088832,0/1,0/1; W; 1590284519396237/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.181 N; 1360765530253699/35184372088832,0/1,0/1; W; 6361137459421907/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.182 N; 1360765530253699/35184372088832,0/1,0/1; W; 3180568420629433/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.183 N; 1360765530253699/35184372088832,0/1,0/1; W; 6361136223095825/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.184 N; 1360765530253699/35184372088832,0/1,0/1; W; 397570975308299/4398046511104,0/1,0/1; 0; 604/1; 2
10.9.0.185 N; 5443061669752517/140737488355328,0/1,0/1; W; 1590284673936997/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.186 N; 5443061669752517/140737488355328,0/1,0/1; W; 6361138077584947/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.187 N; 5443061669752517/140737488355328,0/1,0/1; W; 3180568729710953/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.188 N; 5443061669752517/140737488355328,0/1,0/1; W; 6361136841258865/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.189 N; 5443061669752517/140737488355328,0/1,0/1; W; 397571013943489/4398046511104,0/1,0/1; 0; 604/1; 2
10.9.0.190 N; 5443061669752517/140737488355328,0/1,0/1; W; 6361135604932783/70368744177664,0/1,0/1; 0; 604/1; 2
